"Footprint","Part Value","LCSC Part"
"BM20B(0.8)-24DS-0.4V(51)","BM20B(0.8)-24DS-0.4V(51)","C3643077"
"Button_Switch_SMD_3.9x2.9x1.6mm","Boot","C569760"
"Button_Switch_SMD_3.9x2.9x1.6mm","Button","C569760"
"C_0402_1005Metric","100nF/16V(10%)","C15850"
"C_0402_1005Metric","22pF/50V(5%)","C15850"
"C_0402_1005Metric","100nF/10V(5%)","C1555"
"C_0402_1005Metric","100nF/2V(10%)","C1525"
"C_0402_1005Metric","2.2nF/50v(10%)","C1531"
"C_0402_1005Metric","10nF/4V(10%)","C15195"
"C_0402_1005Metric","100nF/4V(10%)","C1525"
"C_0402_1005Metric","1uF/16V(10%)","C52923"
"C_0402_1005Metric","100nF/10V(10%)","C1525"
"C_0402_1005Metric","1uF/16V(10%)(NC)","C1525"
"C_0603_1608Metric","10uF/16V(10%)","C96446"
"C_0603_1608Metric","10uF/50V(10%)","C1525"
"C_0805_2012Metric","10uF/16V(10%)","C1525"
"C_1206_3216Metric","22uF/10V(10%)","C5672"
"D_SOD-123","1N4148W","C81598"
"D_SOD-323","1N5819WS","C191023"
"D_SOD-323_HandSoldering","LMBR140ET1G","C2917190"
"D_SOD-523","LESD5D5.0CT1G","C383211"
"HRS_DF37NB-24DS-0.4V_51_","DF37NB-24DS-0.4V_51_","C3643077"
"LED_ARGB_3x2mm","LED_RGB","C2917190"
"LED_Slide_0602_1.7x1.2mm","LED_Power","C965865"
"L_Sunlord_MWSA0402S","2.2uH(20%)","C408335"
"L_Wuerth_MAPI-3012","10uH/0.8A(20%)","C48668"
"R_0402_1005Metric","10K(1%)","C25744"
"R_0402_1005Metric","150K(1%)","C25900"
"R_0402_1005Metric","1K(1%)","C11702"
"R_0402_1005Metric","4.7k(1%)","C11702"
"R_0402_1005Metric","4.7K","C25900"
"R_0402_1005Metric","510(1%)","C25123"
"R_0402_1005Metric","10(1%)","C17477"
"R_0402_1005Metric","1k(1%)","C11702"
"R_0402_1005Metric","680K(1%)","C11702"
"R_0402_1005Metric","3.9(1%)","C25744"
"R_0402_1005Metric","330(1%)","C11702"
"R_0603_1608Metric","0(1%)","C21189"
"R_0603_1608Metric","330(1%)","C23138"
"R_0805_2012Metric","0(1%)","C11702"
"SOT-23","S8050","C2150"
"USB_C_Receptacle_16P_SMD","USB_C_Receptacle_16P_SMD","C2840392"
